	MSZoning	Street	Alley	LotShape	LandContour	Utilities	LotConfig	LandSlope	Neighborhood	Condition1	Condition2	BldgType	HouseStyle	RoofStyle	RoofMatl	Exterior1st	Exterior2nd	MasVnrType	Foundation	BsmtExposure	BsmtFinType1	BsmtFinType2	Heating	CentralAir	Electrical	Functional	GarageType	GarageFinish	PavedDrive	PoolQC	Fence	MiscFeature	SaleType	SaleCondition	ExterQual	ExterCond	BsmtQual	BsmtCond	HeatingQC	KitchenQual	FireplaceQu	GarageQual	GarageCond	Id	MSSubClass	LotFrontage	LotArea	OverallQual	OverallCond	YearBuilt	YearRemodAdd	MasVnrArea	BsmtFinSF1	BsmtFinSF2	BsmtUnfSF	TotalBsmtSF	LowQualFinSF	GrLivArea	BsmtFullBath	BsmtHalfBath	FullBath	HalfBath	BedroomAbvGr	KitchenAbvGr	TotRmsAbvGrd	Fireplaces	GarageYrBlt	GarageCars	GarageArea	WoodDeckSF	OpenPorchSF	EnclosedPorch	3SsnPorch	ScreenPorch	PoolArea	MiscVal	MoSold	YrSold	SalePrice	TotSqFt
0	3	1	2	3	3	0	4	0	5	2	2	0	5	1	0	12	13	1	2	3	2	5	1	1	4	6	1	1	2	3	4	4	8	4	4	3	4	3	5	4	0	3	3	1	60	65.0	8450	7	5	2003	2003	196.0	706	0	150	856	0	1710	1	0	2	1	3	1	8	0	2003.0	2	548	0	61	0	0	0	0	0	2	2008	12.247694320220994	1710
1	3	1	2	3	3	0	2	0	24	1	2	0	2	1	0	8	8	2	1	1	0	5	1	1	4	6	1	1	2	3	4	4	8	4	3	3	4	3	5	3	3	3	3	2	20	80.0	9600	6	8	1976	1976	0.0	978	0	284	1262	0	1262	0	1	2	0	3	1	6	1	1976.0	2	460	298	0	0	0	0	0	0	5	2007	12.109010932687042	1262
2	3	1	2	0	3	0	4	0	5	2	2	0	5	1	0	12	13	1	2	2	2	5	1	1	4	6	1	1	2	3	4	4	8	4	4	3	4	3	5	4	3	3	3	3	60	68.0	11250	7	5	2001	2002	162.0	486	0	434	920	0	1786	1	0	2	1	3	1	6	1	2001.0	2	608	0	42	0	0	0	0	0	9	2008	12.31716669303576	1786
3	3	1	2	0	3	0	0	0	6	2	2	0	5	1	0	13	15	2	0	3	0	5	1	1	4	6	5	2	2	3	4	4	8	0	3	3	3	4	4	4	4	3	3	4	70	60.0	9550	7	5	1915	1970	0.0	216	0	540	756	0	1717	1	0	1	0	3	1	7	1	1998.0	3	642	0	35	272	0	0	0	0	2	2006	11.84939770159144	1717
4	3	1	2	0	3	0	2	0	15	2	2	0	5	1	0	12	13	1	2	0	2	5	1	1	4	6	1	1	2	3	4	4	8	4	4	3	4	3	5	4	3	3	3	5	60	84.0	14260	8	5	2000	2000	350.0	655	0	490	1145	0	2198	1	0	2	1	4	1	9	1	2000.0	3	836	192	84	0	0	0	0	0	12	2008	12.429216196844383	2198
5	3	1	2	0	3	0	4	0	11	2	2	0	0	1	0	12	13	2	5	3	2	5	1	1	4	6	1	2	2	3	2	2	8	4	3	3	4	3	5	3	0	3	3	6	50	85.0	14115	5	5	1993	1995	0.0	732	0	64	796	0	1362	1	0	1	1	1	1	5	0	1993.0	2	480	40	30	0	320	0	0	700	10	2009	11.870599909242044	1362
6	3	1	2	3	3	0	4	0	21	2	2	0	2	1	0	12	13	3	2	0	2	5	1	1	4	6	1	1	2	3	4	4	8	4	4	3	5	3	5	4	4	3	3	7	20	75.0	10084	8	5	2004	2005	186.0	1369	0	317	1686	0	1694	1	0	2	0	3	1	7	1	2004.0	2	636	255	57	0	0	0	0	0	8	2007	12.634603026569334	1694
7	3	1	2	0	3	0	0	0	14	4	2	0	5	1	0	6	6	3	1	2	0	1	1	1	4	6	1	1	2	3	4	2	8	4	3	3	4	3	5	3	3	3	3	8	60	0.0	10382	7	6	1973	1973	240.0	859	32	216	1107	0	2090	1	0	2	1	3	1	7	2	1973.0	2	484	235	204	228	0	0	0	350	11	2009	12.206072645530174	2090
8	4	1	2	3	3	0	4	0	17	0	2	0	0	1	0	3	15	2	0	3	5	5	1	1	1	2	5	2	2	3	4	4	8	0	3	3	3	3	4	3	3	2	3	9	50	51.0	6120	7	5	1931	1950	0.0	0	0	952	952	0	1774	0	0	2	0	2	2	8	2	1931.0	2	468	90	0	205	0	0	0	0	4	2008	11.77452020265869	1774
9	3	1	2	3	3	0	0	0	3	0	0	1	1	1	0	8	8	2	0	3	2	5	1	1	4	6	1	1	2	3	4	4	8	4	3	3	3	3	5	3	3	4	3	10	190	50.0	7420	5	6	1939	1950	0.0	851	0	140	991	0	1077	1	0	1	0	2	2	5	2	1939.0	1	205	0	4	0	0	0	0	0	1	2008	11.678439903447801	1077
